"id","import_id","time","import_time","project_code","product_name","part_no","origin","quantity","seri_number","deleted","statistical_id"
659,PO4556,2025-11-04 16:29:56.601,2025-11-04 16:29:56.601,ES755-A2501,,ILEC-JP-614-4000,,1,"251023146",false,
658,PO4556,2025-11-04 16:29:30.827,2025-11-04 16:29:30.827,ES755-A2501,,ILEC-JP-614-4000,,1,"251023122",false,
657,PO4556,2025-11-04 16:29:12.698,2025-11-04 16:29:12.698,ES755-A2501,,ILEC-JP-614-4000,,1,"251023134",false,
656,PO4556,2025-11-04 16:28:53.134,2025-11-04 16:28:53.134,ES755-A2501,,ILEC-JP-614-4000,,1,"251023140",false,
655,PO4556,2025-11-04 16:28:01.869,2025-11-04 16:28:01.869,ES755-A2501,"",ILEC-JP-614-4000,"",1,"251023109",false,
654,PO4556,2025-11-04 16:27:26.540,2025-11-04 16:27:26.540,ES755-A2501,,ILEC-JP-614-4000,,1,"251023124",false,
653,PO4556,2025-11-04 16:27:04.216,2025-11-04 16:27:04.216,ES755-A2501,,ILEC-JP-614-4000,,1,"251023138",false,
652,PO4556,2025-11-04 16:25:14.919,2025-11-04 16:25:14.919,ES755-A2501,,ILEC-JP-614-4000,,1,"251023119",false,
651,PO4556,2025-11-04 16:24:47.730,2025-11-04 16:24:47.730,ES755-A2501,,ILEC-JP-614-4000,,1,"251023114",false,
650,PO4556,2025-11-04 16:24:09.943,2025-11-04 16:24:09.943,ES755-A2501,,ILEC-JP-614-4000,,1,"251023118",false,
649,PO4556,2025-11-04 16:23:30.277,2025-11-04 16:23:30.277,ES755-A2501,,ILEC-JP-614-4000,,1,"251023113",false,
648,PO4556,2025-11-04 16:22:01.770,2025-11-04 16:22:01.770,ES755-A2501,,ILEC-JP-614-4000,,1,"251023130",false,
647,PO4556,2025-11-04 16:20:28.696,2025-11-04 16:20:28.696,ES755-A2501,,ILEC-JP-614-4000,,1,"251023127",false,
638,"4513626302",2025-11-04 15:17:12.348,2025-11-04 15:17:12.348,ES755-A2501,,"1P6SL3000-0CH32-7AA0",,1,SJTA25462589001,false,
